id,diam,pitch,pitch_diam_d2,minor_diam_d1,minor_diam_d3
122,30,2,28.70096189,27.83493649,27.54626136
123,30,1.5,29.02572142,28.37620237,28.15969602
124,30,1,29.35048095,28.91746825,28.77313068
125,30,0.75,29.51286071,29.18810118,29.07984801
126,32,2,30.70096189,29.83493649,29.54626136
127,32,1.5,31.02572142,30.37620237,30.15969602
128,33,3.5,30.72668331,29.21113886,28.70595737
129,33,3,31.05144284,29.75240474,29.31939203
130,33,2,31.70096189,30.83493649,30.54626136
131,33,1.5,32.02572142,31.37620237,31.15969602
132,33,1,32.35048095,31.91746825,31.77313068
133,33,0.75,32.51286071,32.18810118,32.07984801
134,35,1.5,34.02572142,33.37620237,33.15969602
135,36,4,33.40192379,31.66987298,31.09252271
136,36,3,34.05144284,32.75240474,32.31939203
137,36,2,34.70096189,33.83493649,33.54626136
138,36,1.5,35.02572142,34.37620237,34.15969602
139,36,1,35.35048095,34.91746825,34.77313068
140,38,1.5,37.02572142,36.37620237,36.15969602
141,39,4,36.40192379,34.66987298,34.09252271
142,39,3,37.05144284,35.75240474,35.31939203
143,39,2,37.70096189,36.83493649,36.54626136
144,39,1.5,38.02572142,37.37620237,37.15969602
145,39,1,38.35048095,37.91746825,37.77313068
146,40,3,38.05144284,36.75240474,36.31939203
147,40,2,38.70096189,37.83493649,37.54626136
148,40,1.5,39.02572142,38.37620237,38.15969602
149,42,4.5,39.07716426,37.1286071,36.47908805
150,42,4,39.40192379,37.66987298,37.09252271
151,42,3,40.05144284,38.75240474,38.31939203
152,42,2,40.70096189,39.83493649,39.54626136
153,42,1.5,41.02572142,40.37620237,40.15969602
154,42,1,41.35048095,40.91746825,40.77313068
155,45,4.5,42.07716426,40.1286071,39.47908805
156,45,4,42.40192379,40.66987298,40.09252271
157,45,3,43.05144284,41.75240474,41.31939203
158,45,2,43.70096189,42.83493649,42.54626136
159,45,1.5,44.02572142,43.37620237,43.15969602
160,45,1,44.35048095,43.91746825,43.77313068
161,48,5,44.75240474,42.58734123,41.86565339
162,48,4,45.40192379,43.66987298,43.09252271
163,48,3,46.05144284,44.75240474,44.31939203
164,48,2,46.70096189,45.83493649,45.54626136
165,48,1.5,47.02572142,46.37620237,46.15969602
166,48,1,47.35048095,46.91746825,46.77313068
167,50,3,48.05144284,46.75240474,46.31939203
168,50,2,48.70096189,47.83493649,47.54626136
169,50,1.5,49.02572142,48.37620237,48.15969602
170,52,5,48.75240474,46.58734123,45.86565339
171,52,4,49.40192379,47.66987298,47.09252271
172,52,3,50.05144284,48.75240474,48.31939203
173,52,2,50.70096189,49.83493649,49.54626136
174,52,1.5,51.02572142,50.37620237,50.15969602
175,52,1,51.35048095,50.91746825,50.77313068
176,55,4,52.40192379,50.66987298,50.09252271
177,55,3,53.05144284,51.75240474,51.31939203
178,55,2,53.70096189,52.83493649,52.54626136
179,55,1.5,54.02572142,53.37620237,53.15969602
180,56,5.5,52.42764521,50.04607535,49.25221873
181,56,4,53.40192379,51.66987298,51.09252271
182,56,3,54.05144284,52.75240474,52.31939203
183,56,2,54.70096189,53.83493649,53.54626136
184,56,1.5,55.02572142,54.37620237,54.15969602
